round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,last_activation,losses,lr,optimizer
200,184.73927936038456,0.21621622145175934,0.02247774430240194,1.0,<function relu at 0x7f266b967bf8>,5,0.1,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
100,2.848068449948285,0.31081080436706543,0.4047747552394867,0.8333333,<function elu at 0x7f266b9679d8>,8,0.2,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.05,<class 'keras.optimizers.Adam'>
200,15.170714017507192,0.22972972691059113,0.027273686602711678,1.0,<function elu at 0x7f266b9679d8>,8,0.1,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,<class 'keras.optimizers.Nadam'>
200,8.346008498253088,0.6081081032752991,0.021259893663227558,1.0,<function elu at 0x7f266b9679d8>,2,0.0,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,<class 'keras.optimizers.Adam'>
100,118.80616883973818,0.21621622145175934,0.015926938387565315,1.0,<function relu at 0x7f266b967bf8>,5,0.1,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,<class 'keras.optimizers.Nadam'>
100,32.860551937206374,0.21621622145175934,0.3179472088813782,0.8333333,<function elu at 0x7f266b9679d8>,6,0.4,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.05,<class 'keras.optimizers.Nadam'>
200,51.46742859402218,0.21621622145175934,0.004413368180394173,1.0,<function elu at 0x7f266b9679d8>,6,0.0,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,<class 'keras.optimizers.Nadam'>
200,137.51105013409176,0.21621622145175934,0.0989125408232212,1.0,<function elu at 0x7f266b9679d8>,3,0.1,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
100,12.45876440294593,0.21621622145175934,0.3796393871307373,0.8333333,<function relu at 0x7f266b967bf8>,3,0.2,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.05,<class 'keras.optimizers.Nadam'>
100,131.97067539111987,0.21621622145175934,0.17429320514202118,1.0,<function elu at 0x7f266b9679d8>,3,0.4,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
