round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,last_activation,losses,lr,optimizer
200,221.2944327431756,0.21621622145175934,0.016647754519453883,1.0,<function relu at 0x7f266b967bf8>,4,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,<class 'keras.optimizers.Nadam'>
200,171.470705908698,0.21621622145175934,0.007147554337279871,1.0,<function relu at 0x7f266b967bf8>,7,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,<class 'keras.optimizers.Nadam'>
100,102.99409134323533,0.29729729890823364,0.5662356801331043,0.5625,<function elu at 0x7f266b9679d8>,9,0.2,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.14,<class 'keras.optimizers.Adam'>
100,217.34970494863148,0.21621622145175934,0.00027100063337570646,1.0,<function relu at 0x7f266b967bf8>,2,0.1,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
100,6.56234938872827,0.6486486196517944,0.8290743231773376,0.5,<function relu at 0x7f266b967bf8>,8,0.30000000000000004,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,<class 'keras.optimizers.Adam'>
200,71.01348510948387,0.21621622145175934,0.0022920177434571087,1.0,<function elu at 0x7f266b9679d8>,5,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,<class 'keras.optimizers.Adam'>
200,105.79055119849541,0.21621622145175934,0.281730969902128,0.9375,<function relu at 0x7f266b967bf8>,2,0.30000000000000004,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.05,<class 'keras.optimizers.Adam'>
200,35.07674021334262,0.21621622145175934,0.04480063356459141,1.0,<function relu at 0x7f266b967bf8>,5,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,<class 'keras.optimizers.Nadam'>
200,34.13575618331795,0.21621622145175934,0.0013852451614297934,1.0,<function elu at 0x7f266b9679d8>,2,0.1,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.14,<class 'keras.optimizers.Adam'>
100,138.13840866088867,0.21621622145175934,0.0038747340075833137,1.0,<function elu at 0x7f266b9679d8>,5,0.4,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,<class 'keras.optimizers.Adam'>
100,17.59983089932818,0.7567567825317383,0.1746003576554358,1.0,<function elu at 0x7f266b9679d8>,3,0.0,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.14,<class 'keras.optimizers.Adam'>
100,224.51824353192305,0.21621622145175934,0.032417034241916554,1.0,<function elu at 0x7f266b9679d8>,5,0.4,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,<class 'keras.optimizers.Nadam'>
100,43.468583906019056,0.21621622145175934,0.22690203320235014,1.0,<function relu at 0x7f266b967bf8>,7,0.4,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.32,<class 'keras.optimizers.Adam'>
200,104.2493365004256,0.21621622145175934,0.005329216024165362,1.0,<function elu at 0x7f266b9679d8>,2,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.14,<class 'keras.optimizers.Nadam'>
100,100.14286072189743,0.21621622145175934,0.05050583020783961,1.0,<function relu at 0x7f266b967bf8>,4,0.1,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,<class 'keras.optimizers.Adam'>
200,9.753654767532606,0.29729729890823364,0.013702118943911046,1.0,<function elu at 0x7f266b9679d8>,6,0.0,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
100,58.147685746888854,0.21621622145175934,0.0007561885240647825,1.0,<function elu at 0x7f266b9679d8>,5,0.0,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
200,283.2446948902027,0.21621622145175934,0.00023419140332420207,1.0,<function relu at 0x7f266b967bf8>,5,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
200,107.67681369265995,0.21621622145175934,0.3477686792612076,0.9375,<function elu at 0x7f266b9679d8>,8,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.23000000000000004,<class 'keras.optimizers.Adam'>
200,161.19234280972867,0.21621622145175934,0.004382881576020736,1.0,<function relu at 0x7f266b967bf8>,7,0.2,200,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.14,<class 'keras.optimizers.Nadam'>
100,63.2072920412645,0.21621622145175934,0.05117086379323155,1.0,<function relu at 0x7f266b967bf8>,3,0.2,100,<function sigmoid at 0x7f266b967d08>,<function binary_crossentropy at 0x7f266ba16b70>,0.14,<class 'keras.optimizers.Adam'>
