round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,last_activation,losses,lr,optimizer
200,231.49177180109797,0.14864864945411682,0.0014906298952256844,1.0,<function relu at 0x7f0df1f93bf8>,6,0.4,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
200,252.5938242319468,0.14864864945411682,2.2702689079465197e-05,1.0,<function relu at 0x7f0df1f93bf8>,4,0.0,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Nadam'>
100,48.93112914626663,0.14864864945411682,0.12853075420883084,0.95238096,<function elu at 0x7f0df1f939d8>,3,0.30000000000000004,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Adam'>
100,191.8015803775272,0.14864864945411682,0.004796829842717054,1.0,<function relu at 0x7f0df1f93bf8>,2,0.4,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
200,76.32620362977724,0.14864864945411682,0.003323823701412905,1.0,<function elu at 0x7f0df1f939d8>,8,0.4,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.23000000000000004,<class 'keras.optimizers.Nadam'>
200,45.21823614996833,0.14864864945411682,0.014135307294227892,1.0,<function relu at 0x7f0df1f93bf8>,4,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Nadam'>
100,89.04682530583563,0.14864864945411682,0.06956567026541702,0.97619045,<function elu at 0x7f0df1f939d8>,9,0.4,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Adam'>
200,140.87690487423458,0.13513512909412384,0.0003208596595730536,1.0,<function elu at 0x7f0df1f939d8>,4,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
200,163.11214503726444,0.14864864945411682,0.0003369702484577305,1.0,<function relu at 0x7f0df1f93bf8>,3,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Nadam'>
100,103.73140716552734,0.14864864945411682,0.008365034302447125,1.0,<function elu at 0x7f0df1f939d8>,6,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
200,91.94239307094264,0.14864864945411682,0.00033941758696385903,1.0,<function elu at 0x7f0df1f939d8>,3,0.2,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.23000000000000004,<class 'keras.optimizers.Nadam'>
100,154.22786630166544,0.14864864945411682,0.04281165941003045,1.0,<function relu at 0x7f0df1f93bf8>,6,0.4,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
200,25.21472286533665,0.14864864945411682,0.007830837867610777,1.0,<function elu at 0x7f0df1f939d8>,7,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Adam'>
100,60.687187813423776,0.14864864945411682,0.00388611322947933,1.0,<function elu at 0x7f0df1f939d8>,8,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Adam'>
200,19.548035750517975,0.14864864945411682,0.005145192135214096,1.0,<function elu at 0x7f0df1f939d8>,8,0.0,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Adam'>
200,254.17378276103253,0.14864864945411682,0.0006225272606315002,1.0,<function relu at 0x7f0df1f93bf8>,7,0.2,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
200,328.1585148991765,0.14864864945411682,1.0010879052117893e-06,1.0,<function relu at 0x7f0df1f93bf8>,4,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Nadam'>
100,218.71076748822188,0.14864864945411682,1.184716153078804e-05,1.0,<function relu at 0x7f0df1f93bf8>,3,0.0,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
200,426.1187605986724,0.14864864945411682,0.00010600411990245668,1.0,<function relu at 0x7f0df1f93bf8>,2,0.0,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Adam'>
100,41.91284143602526,0.14864864945411682,0.0002463121682168213,1.0,<function elu at 0x7f0df1f939d8>,5,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Nadam'>
100,82.45916902696764,0.14864864945411682,0.04931444570510529,0.97619045,<function elu at 0x7f0df1f939d8>,2,0.4,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Nadam'>
100,44.899372667879675,0.14864864945411682,0.011175222384432951,1.0,<function elu at 0x7f0df1f939d8>,7,0.2,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Adam'>
200,91.7850152093011,0.14864864945411682,0.008395180019200714,1.0,<function relu at 0x7f0df1f93bf8>,8,0.2,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.23000000000000004,<class 'keras.optimizers.Adam'>
100,106.88305870262352,0.14864864945411682,0.00013107387352866745,1.0,<function elu at 0x7f0df1f939d8>,6,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
100,43.732707462579924,0.14864864945411682,0.000498207670185972,1.0,<function elu at 0x7f0df1f939d8>,2,0.0,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Nadam'>
200,34.49342727661133,0.14864864945411682,0.005754429583681659,1.0,<function elu at 0x7f0df1f939d8>,4,0.0,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Adam'>
200,50.73398157068201,0.14864864945411682,0.0007026458655066866,1.0,<function elu at 0x7f0df1f939d8>,7,0.2,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Adam'>
200,83.07345044935072,0.14864864945411682,0.0479439189214082,1.0,<function elu at 0x7f0df1f939d8>,8,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Adam'>
200,159.87450408935547,0.14864864945411682,0.0033488378443976563,1.0,<function relu at 0x7f0df1f93bf8>,2,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Nadam'>
100,48.652613498069144,0.14864864945411682,0.027345467784990824,1.0,<function elu at 0x7f0df1f939d8>,3,0.30000000000000004,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Adam'>
100,141.7838967813028,0.14864864945411682,0.0002352092361864574,1.0,<function elu at 0x7f0df1f939d8>,9,0.0,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
