round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,last_activation,losses,lr,optimizer
100,18.724438515042976,0.6486486196517944,0.03334654459736692,1.0,<function relu at 0x7f0df1f93bf8>,2,0.2,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Nadam'>
200,23.707378387451172,0.6486486196517944,0.018515029805712402,1.0,<function relu at 0x7f0df1f93bf8>,6,0.2,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Nadam'>
200,21.982367644438874,0.6216216087341309,0.03727177725465713,0.98039216,<function relu at 0x7f0df1f93bf8>,8,0.2,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.23000000000000004,<class 'keras.optimizers.Nadam'>
200,21.843901330671997,0.5945945978164673,0.053309084687565275,0.9705882,<function elu at 0x7f0df1f939d8>,5,0.4,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.23000000000000004,<class 'keras.optimizers.Nadam'>
200,25.054583639711947,0.6486486196517944,0.025638550590027828,0.99019605,<function relu at 0x7f0df1f93bf8>,6,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.23000000000000004,<class 'keras.optimizers.Adam'>
100,9.94000863867837,0.6756756901741028,0.22611494596097984,0.9019608,<function relu at 0x7f0df1f93bf8>,7,0.4,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Adam'>
200,6.332840254177919,0.662162184715271,0.12794080105902372,0.9411765,<function elu at 0x7f0df1f939d8>,7,0.2,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Adam'>
100,8.1098202789152,0.6891891956329346,0.5923368468442384,0.75490195,<function relu at 0x7f0df1f93bf8>,6,0.30000000000000004,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Nadam'>
100,17.49985108504424,0.662162184715271,0.026193377130445752,1.0,<function elu at 0x7f0df1f939d8>,6,0.0,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Nadam'>
100,29.672827548889718,0.5945945978164673,0.05438264663077877,0.9705882,<function elu at 0x7f0df1f939d8>,2,0.4,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
