round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,last_activation,losses,lr,optimizer
100,8.120585029189652,0.6486486196517944,0.47850883431318736,0.8472222,<function elu at 0x7f0df1f939d8>,8,0.2,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Adam'>
100,18.354829312044128,0.6756756901741028,0.12390050999681534,0.9513889,<function elu at 0x7f0df1f939d8>,2,0.4,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.23000000000000004,<class 'keras.optimizers.Adam'>
100,14.544653404575085,0.6756756901741028,0.2809698709218081,0.9236111,<function relu at 0x7f0df1f93bf8>,3,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Adam'>
100,19.908540648383063,0.6891891956329346,0.033417840645900775,0.9861111,<function relu at 0x7f0df1f93bf8>,8,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.14,<class 'keras.optimizers.Nadam'>
100,35.075868277936365,0.662162184715271,0.0676743200886952,0.9861111,<function relu at 0x7f0df1f93bf8>,7,0.2,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Nadam'>
100,8.515769207799757,0.6756756901741028,0.0730933179505276,0.9791667,<function elu at 0x7f0df1f939d8>,6,0.1,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Nadam'>
100,27.94614021842544,0.6756756901741028,0.016527714252126832,1.0,<function relu at 0x7f0df1f93bf8>,7,0.0,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
100,17.90708349828572,0.6486486196517944,0.36702037480399896,0.9375,<function relu at 0x7f0df1f93bf8>,2,0.30000000000000004,100,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.05,<class 'keras.optimizers.Nadam'>
200,24.038465267903096,0.662162184715271,0.008776511295334584,1.0,<function elu at 0x7f0df1f939d8>,8,0.1,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.32,<class 'keras.optimizers.Nadam'>
200,23.257456947011264,0.6756756901741028,0.01580895717385765,0.9930556,<function elu at 0x7f0df1f939d8>,4,0.30000000000000004,200,<function sigmoid at 0x7f0df1f93d08>,<function binary_crossentropy at 0x7f0df2045b70>,0.41000000000000003,<class 'keras.optimizers.Adam'>
